model,model_group,Brier Score,Expected Calibration Error,ROC-AUC,PR-AUC,pinball loss,interval coverage,mean interval width,uncertainty-error correlation
Persistence risk baseline,Persistence,0.019783663061051,0.019783663061051,0.9013872047384992,0.6774081353809408,,,,
Seasonal previous-day risk baseline,Classical ML,0.0427507125118752,0.0427507125118752,0.7915378168933673,0.3885519030433398,,,,
Bayesian Ridge risk approximation,Bayesian baseline,0.0556797726538039,0.0918029919537578,0.9532801153838112,0.6168317196396749,,,,
Gaussian Naive Bayes,Bayesian baseline,0.1362414332515319,0.1390640959125477,0.9657411037636352,0.5798954318379509,,,,
Logistic Regression,Classical ML,0.0240676559169283,0.023726366505073,0.9899359102234346,0.861891578165684,,,,
Random Forest,Tree ensemble,0.0202644934729032,0.035080446872882,0.9966520673127656,0.9409435013183024,,,,
Extra Trees,Tree ensemble,0.0294522297429524,0.0548410165327457,0.994870217677436,0.9172019215548952,,,,
HistGradientBoostingClassifier,Boosting,0.0138473744980582,0.019211021424632,0.9977782114807828,0.9629383460798948,,,,
MLPClassifier,Classical ML,0.0169947258832262,0.0132152834628695,0.9932324451714508,0.9087136421910422,,,,
XGBoost,Boosting,0.0168246420024451,0.0259439288797769,0.9970813813270152,0.952451081718505,,,,
LightGBM,Boosting,0.0167054944019557,0.0240588688926807,0.997759852052452,0.961789615559412,,,,
GRU,Neural temporal,0.03524218371406417,0.05481541981998,0.9750422721086565,0.6922674114145387,,,,
Graph WaveNet-inspired compact,Graph-temporal,0.033671273732799004,0.029322199869529997,0.9430243882837258,0.5056660138582323,,,,
LSTM,Neural temporal,0.03468413599393273,0.051671865922966666,0.9738209016146412,0.6835670588582269,,,,
PatchTST-style compact,Neural temporal,0.05022807046973151,0.07187018884495555,0.9347637467628395,0.44182192825922084,,,,
STGCN-inspired compact,Graph-temporal,0.04634055514130381,0.06259079768714444,0.9048190203868414,0.3758555849494869,,,,
TCN,Neural temporal,0.05080534419207007,0.07657873260919999,0.9018115938197595,0.3826887123791148,,,,
TFT-inspired compact attention,Neural temporal,0.03934014714212243,0.05245181725476273,0.9684275727297049,0.6272534412591186,,,,
Transformer Encoder,Neural temporal,0.04184326228384884,0.049455214025366664,0.9473044723309354,0.4992497578235816,,,,
B-TGPRF,Proposed,0.0147191209208759,0.0063946741884017,0.9931458440944192,0.9035237745565298,,,,
Quantile Gradient Boosting conformal,Boosting,,,,,0.1710221172983088,0.9958832647210788,6.798734922506641,
B-TGPRF,Proposed,,,,,0.0677946380205327,0.8493641560692679,1.389125940077834,-0.0208352777529322
