split,risk_label_h1,rows,horizon,risk_label_h6,risk_label_h24
external_test,Critical,47290,1,,
external_test,Normal,782262,1,,
external_test,Warning,41648,1,,
test,Critical,40853,1,,
test,Normal,452434,1,,
test,Warning,23913,1,,
train,Critical,78641,1,,
train,Normal,1415085,1,,
train,Warning,78574,1,,
validation,Critical,22868,1,,
validation,Normal,477383,1,,
validation,Warning,23849,1,,
external_test,,47298,6,Critical,
external_test,,782257,6,Normal,
external_test,,41645,6,Warning,
test,,41120,6,Critical,
test,,452048,6,Normal,
test,,24032,6,Warning,
train,,78371,6,Critical,
train,,1415480,6,Normal,
train,,78449,6,Warning,
validation,,22896,6,Critical,
validation,,477299,6,Normal,
validation,,23905,6,Warning,
external_test,,47315,24,,Critical
external_test,,782155,24,,Normal
external_test,,41730,24,,Warning
test,,41234,24,,Critical
test,,451817,24,,Normal
test,,24149,24,,Warning
train,,78148,24,,Critical
train,,1415693,24,,Normal
train,,78459,24,,Warning
validation,,23077,24,,Critical
validation,,477087,24,,Normal
validation,,23936,24,,Warning
