subgroup,rows,MAE,RMSE,Macro-F1,Balanced Accuracy,Recall,False Negative Rate,Brier Score,Expected Calibration Error,coverage
validation: high-load periods,3526,0.43525268159704894,0.7327316482745209,0.6735582273035052,0.6092305748122473,0.21875,0.7812499999999879,0.009986091129691049,0.010740243917096248,0.817356778218945
validation: high-generation periods,3526,0.43525268159704894,0.7327316482745209,0.6735582273035052,0.6092305748122473,0.21875,0.7812499999999879,0.009986091129691049,0.010740243917096248,0.817356778218945
validation: high-ramp periods,13985,0.32513446397789547,0.4902832870072692,0.9100008170028318,0.8759532934131736,0.7552,0.2447999999999996,0.009769776955592184,0.004863868311449751,0.8823739721129782
validation: low-margin periods,13559,0.2826919922999662,0.43077500482546377,0.8990623182220574,0.8755986772091174,0.76920137562094,0.2307986243790599,0.04145603760958364,0.018176440281919243,0.9131204366103695
validation: stress periods,3703,0.29374885227595404,0.47417062968675266,0.879322853558828,0.8464459358731029,0.7077826725403817,0.29221732745961776,0.04555288995748824,0.027797092686827514,0.9079125033756413
validation: high-risk periods,2617,0.2290952173077751,0.33728308969068516,0.4347732181425486,0.76920137562094,0.76920137562094,0.2307986243790599,0.14112353352667353,0.24311642253413573,0.9491784486052732
validation: near-threshold periods,6388,0.2562731131107341,0.40860101081851713,0.8591484819915971,0.8403468719869465,0.7195876288659794,0.2804123711340205,0.07825749357030798,0.034693853793590496,0.9245460237946149
validation: central lines,32200,0.3375068033378582,0.5427043112802186,0.9405793256290418,0.9299093009995012,0.8631402183039463,0.13685978169605365,0.006294891436988101,0.0030695508027152032,0.8721739130434782
validation: peripheral lines,27799,0.3627573050200728,0.5546540430500884,0.8881752438843707,0.8435895433453898,0.6907433380084151,0.30925666199158464,0.01293496475837841,0.006792323115523723,0.8576927227598115
test: high-load periods,23444,0.4503684894772912,0.6453543280315975,0.8013238917695684,0.7323785053518025,0.4663507109004739,0.5336492890995258,0.03552018963403432,0.04031022098723973,0.7790052891997953
test: high-generation periods,23444,0.4503684894772912,0.6453543280315975,0.8013238917695684,0.7323785053518025,0.4663507109004739,0.5336492890995258,0.03552018963403432,0.04031022098723973,0.7790052891997953
test: high-ramp periods,17112,0.38989409866274505,0.5784581362378779,0.8206159667233212,0.7516322240219402,0.5051457975986278,0.49485420240137185,0.024018664957494266,0.02655888094848179,0.8314633006077606
test: low-margin periods,15245,0.2946664364407823,0.46359104906035753,0.7874172996223007,0.7573888508927693,0.5296108291032149,0.470389170896785,0.10962046169259436,0.11513883718639029,0.9013447031813709
test: stress periods,12246,0.35078383252473283,0.5352531659779824,0.7877427769791207,0.7426506252538713,0.49188998589562766,0.5081100141043722,0.08701544954525742,0.09727388903138044,0.8570961946758126
test: high-risk periods,4739,0.2549192987220827,0.4147889075428957,0.3457131023056744,0.5283815150875713,0.5283815150875713,0.4716184849124287,0.3244219193309751,0.43653150868072277,0.9164380671027643
test: near-threshold periods,8026,0.2505460021753104,0.42843903652827414,0.6811055086337783,0.6923675905651947,0.4178326474622771,0.5821673525377228,0.19660452554821073,0.20481637726692967,0.9225018689259905
test: central lines,32578,0.4099894266456675,0.6147170540494813,0.8688565841558835,0.814431712695844,0.6325771662328002,0.3674228337671996,0.02245093060841596,0.02257763908842859,0.8136779421695622
test: peripheral lines,27421,0.4104049735720596,0.5836628399140673,0.7646511766082006,0.6949668192318674,0.39170731707317075,0.608292682926829,0.03461735929949947,0.037289903492420805,0.813610006928996
external_test: high-load periods,14438,0.42063094340406715,0.6206326386989859,0.8750170454487278,0.8187619467098932,0.6400425985090522,0.3599574014909474,0.018601183656720047,0.018245105474009753,0.8077988641086024
external_test: high-generation periods,14438,0.42063094340406715,0.6206326386989859,0.8750170454487278,0.8187619467098932,0.6400425985090522,0.3599574014909474,0.018601183656720047,0.018245105474009753,0.8077988641086024
external_test: high-ramp periods,15128,0.35724905456094186,0.5286665143743852,0.8957850220924009,0.8740934845820547,0.7551546391752577,0.24484536082474195,0.013877334013379932,0.006046591323524784,0.8574167107350608
external_test: low-margin periods,14746,0.29146025393534764,0.444560319967731,0.8757321586998297,0.8606201765054237,0.75777162203755,0.24222837796244992,0.05955051623092791,0.026159399872945358,0.9007188390071884
external_test: stress periods,8814,0.3491205678209412,0.5322063130910469,0.8709565106822756,0.8382907680034268,0.6935376415722851,0.3064623584277147,0.04769522741594188,0.029417736275895327,0.8599954617653732
external_test: high-risk periods,3256,0.2621911684594693,0.3949372976237537,0.4307692307692308,0.7567567567567568,0.7567567567567568,0.24324324324324317,0.16118403228785072,0.26036985157606707,0.9204545454545454
external_test: near-threshold periods,7838,0.2529926702576822,0.4078963398240766,0.8256232073216422,0.8138669861884147,0.7013888888888888,0.298611111111111,0.10421437315309723,0.04643715347487035,0.9169430977290125
external_test: central lines,32350,0.3529125545854876,0.5431693814248552,0.9140688873125167,0.89501893741689,0.7961165048543689,0.20388349514563095,0.011927321147634243,0.0036684828725489786,0.8558578052550232
external_test: peripheral lines,27649,0.37920230047367204,0.5530809139209503,0.874545712508914,0.8510065133764644,0.7109634551495017,0.2890365448504982,0.017985594307413238,0.009876025189664635,0.8417664291656117
